Codebarre;Titre;Editeur;Date_achat;Prix;Frequence;Format;Info;Public
1702;Console PlayStation3 - Sony (PS3 80Go) + 2 manettes sans fil Dualshock 3 + télécommande + cable vidéo;Sony;5/15/09;596,68;56;PS3;1 PS3 CECHL04 , 2 manettes sans fil Dualshock 3 , 1 cable secteur , 1 cable AV , 1 cable USB , 1 interface périthel , 1 cable HDMI , 1 télécommande Sony CECHZRIE , 3 notices;
1704;Disque dur Externe 2,5'' - WD blanc My Passport Essential 500 Go - USB 2.0;Western Digital;5/15/09;142,42;26;;1 Disque Dur My passport 500Go , Cable USB , notice , housse ,  ,  ,  ,  ,;
1707;Adaptateur USB vers Parallèle - Belkin;Belkin;5/15/09;29,35;;;Cable Parallele/USB belkin , 1 CD install ,  ,  ,  ,  ,  ,  ,;
1711;Eeepc Asus 1005HA XP, 1Go ram, Atom280, DD 160Go, Wifi g/n, Bluetooth 2.1, webcam 1,3Mpixel, autonomie 10h;Asus;09/07/2009;519,37;42;;Eeepc 1005HA avec housse noir , 1 batterie 6 cellules Asus 5600mAh 63Wh , chargeur Asus 19V/2,1A , 1 souris mini optical , 1 graveur Samsung slim SE-S084 , 1 cable USB double , 1 C;
1712;2 Wiimote + 2 Wii Motion Plus + 2 Nunchuk - Nintendo;Nintendo;10/30/09;146,83;23;WII;2 Wiimote avec sangle , 2 Wii Motion Plus et grand étui silicone , 2 Nunchuk , 3 notices: Wiimote + Wii Motion Plus + Nunchuks ,  ,  ,  ,  ,;
1714;Alimentation Allume Cigare 40W pour portable 8'' à 12'';Mobility Lab;09/07/2009;;4;;Bloc alim avec allume cigare , 8 fiches adaptatrices , 1 notice ,  ,  ,  ,  ,  ,;
1720;Station d'Acceuil USB pour Disque Dur Externe 2,5'' 3,5'' - Pata Sata - Freecom;Freecom;3/22/10;50,87;26;;1 station acceuil , 1 bloc alim UnionEast 12v-3a , 1 cable USB , 1 nappe IDE + cable alim IDE , 1 CD , 1 feuillet ,  ,  ,;
1721;Imprimante à Découper USB - Craft Robo CC330;Craft RoboGraphtec;3/22/10;347,3;5;;1 imprimante CC330-20 , 1 bloc alim 24v/1,25A , 1 cable secteur , 2 outils de découpe à 3 embout bleu, rouge, jaune , 3 feuilles de transport avec leur protection , 1 notice + 3 fe;
1725;SingStar Family Edition (Hit1 + Hit2 + 2 micros) (PS3);Sony;6/15/10;79,8;3;PS3;2 micro sans fil (bleu, rouge) avec cache pile , 1 recepteur sans fil USB (SingStar) , 1 cable USB , 1 notice + 1 feuille , SingStar Hits 1 (1 bluray, notice) , SingStar Hits 2 (1;+12 ans
1766;Tomb Raider 4: La révélation finale;Core;07/01/2004;9,99;;PC;1 CD , -;+ 12 ans
1791;Le Seigneur des Anneaux: La bataille pour la terre du milieu;EA Games;03/01/2005;;5;PC;1 DVD , manuel + n°série;+12 ans
1823;Blitzkrieg 2;Focus;02/01/2006;52,25;8;PC;1 DVD , livret + n°série;+12 ans
1837;ChessMaster 5000;Mindscape;06/01/2006;7;3;PC;1 CD , n°série;+7 ans
1858;Flight Simulator X;;12/01/2006;55;12;PC;2 DVDs , 2 livrets + n°série;+12 ans
1947;Tell Me More: ANGLAIS Débutant;Auralog;12/01/1998;;4;PC;2 CDs , 2 Docs (install copie);
1948;Tell Me More: ANGLAIS Moyen;Auralog;11/01/1998;;3;PC;2 CDs , 2 Docs;
1949;Tell Me More: Anglais Affaires;Auralog;03/01/2001;;;PC;2 CDs, notice, 2 jaquettes;
1962;Tell Me More: ANGLAIS Confirmé;Auralog;11/01/1998;;3;PC;3 CDs , 2 Docs;
1971;Tell Me More: ALLEMAND Débutant;Auralog;02/01/2002;;3;PC;2 CDs , Doc;
1978;Carto Exploreur Aude Ouest (11 O);Byo;10/01/2002;;1;PC;1CD , jaquette;
1979;Carto Exploreur Hautes_Alpes Sud (05 S);Byo;10/01/2002;;2;PC;1CD , jaquette;
1980;Carto Exploreur Hautes_Alpes Nord (05 N);Byo;10/01/2002;;2;PC;1CD , jaquette;
1981;Carto Exploreur Haute_Garonne Nord (31 N);Byo;10/01/2002;;1;PC;1CD , jaquette;
1982;Carto Exploreur 75,92,93,94;Byo;10/01/2002;;13;PC;1CD , jaquette , manuel;
1983;Carto Exploreur Yvelines (78);Byo;10/01/2002;;11;PC;1CD , jaquette;
1996;Carto Exploreur Seine_et_Marne Nord (77 N);Byo;04/01/2003;;2;PC;1CD , jaquette + pub, manuel;
1997;Carto Exploreur Seine_et_Marne Sud (77 S);Byo;04/01/2003;;2;PC;1CD , jaquette + pub, manuel;
1998;Carto Exploreur Haute_Savoie Est (74 E);Byo;04/01/2003;;1;PC;1CD , jaquette;
1999;Carto Exploreur Haute_Savoie Ouest (74 O);Byo;04/01/2003;;2;PC;1CD , jaquette;
